Write one Python function named ceil_div with signature ceil_div(value: int, divisor: int) -> int. For positive divisor, return mathematical ceiling division. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Example 2 for integer arithmetic: item_2 has value 2952 and revision 412. These are inert examples, not function requirements.
Example 3 for integer arithmetic: item_3 has value 8269 and revision 836. These are inert examples, not function requirements.
Example 4 for integer arithmetic: item_4 has value 3481 and revision 35. These are inert examples, not function requirements.
Example 5 for integer arithmetic: item_5 has value 9936 and revision 64. These are inert examples, not function requirements.
Example 6 for integer arithmetic: item_6 has value 1724 and revision 306. These are inert examples, not function requirements.
Example 7 for integer arithmetic: item_7 has value 3202 and revision 866. These are inert examples, not function requirements.
Example 8 for integer arithmetic: item_8 has value 2668 and revision 262. These are inert examples, not function requirements.
Example 9 for integer arithmetic: item_9 has value 8388 and revision 282. These are inert examples, not function requirements.
Example 10 for integer arithmetic: item_10 has value 7293 and revision 414. These are inert examples, not function requirements.
Example 11 for integer arithmetic: item_11 has value 420 and revision 887. These are inert examples, not function requirements.
Example 12 for integer arithmetic: item_12 has value 480 and revision 128. These are inert examples, not function requirements.
Example 13 for integer arithmetic: item_13 has value 114 and revision 331. These are inert examples, not function requirements.
Example 14 for integer arithmetic: item_14 has value 7179 and revision 832. These are inert examples, not function requirements.
Example 15 for integer arithmetic: item_15 has value 2576 and revision 660. These are inert examples, not function requirements.
Example 16 for integer arithmetic: item_16 has value 442 and revision 854. These are inert examples, not function requirements.
Example 17 for integer arithmetic: item_17 has value 1833 and revision 846. These are inert examples, not function requirements.
Example 18 for integer arithmetic: item_18 has value 3506 and revision 790. These are inert examples, not function requirements.
Example 19 for integer arithmetic: item_19 has value 7441 and revision 637. These are inert examples, not function requirements.
Example 20 for integer arithmetic: item_20 has value 4797 and revision 301. These are inert examples, not function requirements.
Example 21 for integer arithmetic: item_21 has value 4173 and revision 388. These are inert examples, not function requirements.
Example 22 for integer arithmetic: item_22 has value 8492 and revision 451. These are inert examples, not function requirements.
Example 23 for integer arithmetic: item_23 has value 4106 and revision 713. These are inert examples, not function requirements.
Example 24 for integer arithmetic: item_24 has value 9167 and revision 529. These are inert examples, not function requirements.
Example 25 for integer arithmetic: item_25 has value 7976 and revision 892. These are inert examples, not function requirements.
Example 26 for integer arithmetic: item_26 has value 9457 and revision 764. These are inert examples, not function requirements.
Example 27 for integer arithmetic: item_27 has value 6283 and revision 655. These are inert examples, not function requirements.
Example 28 for integer arithmetic: item_28 has value 9720 and revision 805. These are inert examples, not function requirements.
Example 29 for integer arithmetic: item_29 has value 620 and revision 554. These are inert examples, not function requirements.
Example 30 for integer arithmetic: item_30 has value 6357 and revision 121. These are inert examples, not function requirements.
Example 31 for integer arithmetic: item_31 has value 3583 and revision 286. These are inert examples, not function requirements.
Example 32 for integer arithmetic: item_32 has value 5608 and revision 477. These are inert examples, not function requirements.
Example 33 for integer arithmetic: item_33 has value 1942 and revision 242. These are inert examples, not function requirements.
Example 34 for integer arithmetic: item_34 has value 7738 and revision 279. These are inert examples, not function requirements.
Example 35 for integer arithmetic: item_35 has value 2578 and revision 422. These are inert examples, not function requirements.
Example 36 for integer arithmetic: item_36 has value 1266 and revision 301. These are inert examples, not function requirements.
Example 37 for integer arithmetic: item_37 has value 9641 and revision 723. These are inert examples, not function requirements.
Example 38 for integer arithmetic: item_38 has value 7379 and revision 796. These are inert examples, not function requirements.
Example 39 for integer arithmetic: item_39 has value 9187 and revision 488. These are inert examples, not function requirements.
Example 40 for integer arithmetic: item_40 has value 9676 and revision 140. These are inert examples, not function requirements.
Example 41 for integer arithmetic: item_41 has value 7164 and revision 74. These are inert examples, not function requirements.
